en,hi,gu,mr,ml
Capital Market,कैपिटल मार्केट,કૅપિટલ માર્કેટ,कॅपिटल मार्केट,കാപിറ്റൽ മാർക്കറ്റ്
Money Market,मनी मार्केट,મની માર્કેટ,मनी मार्केट,മണി മാർക്കറ്റ്
Primary Market,प्राइमरी मार्केट,પ્રાઇમરી માર્કેટ,प्राईमरी मार्केट,പ്രൈമറി മാർക്കറ്റ്
Secondary Market,सेकेंडरी मार्केट,સેકન્ડરી માર્કેટ,सेकंडरी मार्केट,സെക്കൻഡറി മാർക്കറ്റ്
Stock Exchange,स्टॉक एक्सचेंज,સ્ટોક એક્સચેંજ,स्टॉक एक्सचेंज,സ്റ്റോക്ക് എക്സ്ചേഞ്ച്
BSE,बीएसई,બીએસઇ,बीएसई,ബി എസ് ഇ
NSE,एनएसई,એનએસઇ,एनएसई,എൻഎസ്‌ഇ
Commodity Market,कमोडिटी मार्केट,કોમોડિટી માર્કેટ,कमोडिटी मार्केट,കോമോഡിറ്റി മാർക്കറ്റ്
Derivative,डेरिवेटिव,ડેરિવેટિવ,डेरिव्हेटिव्ह,ഡെരിവേറ്റിവ്
Future,फ्यूचर,ફ્યુચર,फ्यूचर,ഫ്യൂചർ
Option,ऑप्शन,ઑપ્શન,ऑप्शन,ഓപ്ഷൻ
Currency Market,करेंसी मार्केट,કરન્સી માર્કેટ,करन्सी मार्केट,കറൻസി മാർക്കറ്റ്
Forex,फॉरेक्स,ફોરેક્સ,फॉरेक्स,ഫോറക്സ്
Exchange Rate,एक्सचेंज रेट,એક્સચેન્જ રેટ,एक्सचेंज रेट,എക്സ്ചേഞ്ച് റേറ്റ്
Hedge,हेज,હેજ,हेज,ഹെജ്
Arbitrage,आर्बिट्रेज,આર્બિટ્રાજ,आर्बिट्रेज,ആർബിട്രേജ്
Margin,मार्जिन,માર્જિન,मार्जिन,മാർജിൻ
Leverage,लेवरेज,લેવરેજ,लेवरेज,ലെവറേജ്
Long Position,लॉन्ग पोजीशन,લાંગ પોઝિશન,लॉन्ग पोजिशन,ലോങ്ങ് പൊസിഷൻ
Short Position,शॉर्ट पोजीशन,શોર્ટ પોઝિશન,शॉर्ट पोजिशन,ഷോർട്ട് പൊസിഷൻ
Bull Market,बुल मार्केट,બુલ માર્કેટ,बुल मार्केट,ബുൾ മാർക്കറ്റ്
Bear Market,बेअर मार्केट,બેયર માર્કેટ,बिअर मार्केट,ബിയർ മാർക്കറ്റ്
Market Capitalization,मार्केट कैपिटलाइजेशन,માર્કેટ કેપિટલાઇઝેશન,मार्केट कॅपिटलायझेशन,മാർക്കറ്റ് ക്യാപിറ്റലൈസേഷൻ
Blue Chip Stock,ब्लू चिप स्टॉक,બ્લુ ચિપ સ્ટોક,ब्लू चिप स्टॉक,ബ്ലൂ ചിപ്പ് സ്റ്റോക്ക്
Penny Stock,पेनी स्टॉक,પેની સ્ટોક,पेनी स्टॉक,പെനി സ്റ്റോക്ക്
Growth Stock,ग्रोथ स्टॉक,ગ્રોથ સ્ટોક,ग्रोथ स्टॉक,ഗ്രോത്ത് സ്റ്റോക്ക്
Value Stock,वैल्यू स्टॉक,વેલ્યુ સ્ટોક,व्हॅल्यू स्टॉक,വാല്യു സ്റ്റോക്ക്
Defensive Stock,डिफेंसिव स्टॉक,ડિફેન્સિવ સ્ટોક,डिफेन्सिव्ह स्टॉक,ഡിഫൻസീവ് സ്റ്റോക്ക്
Cyclical Stock,साइकलिकल स्टॉक,સાયક્લિકલ સ્ટોક,सायक्लिकल स्टॉक,സൈക്ക്ലിക്കൽ സ്റ്റോക്ക്
Insider Trading,इनसाइडर ट्रेडिंग,ઇન્સાઇડર ટ્રેડિંગ,इनसाइडर ट्रेडिंग,ഇൻസൈഡർ ട്രേഡിംഗ്
Market Sentiment,मार्केट सेंटिमेंट,માર્કેટ સેન્ટિમેન્ટ,मार्केट सेंटिमेंट,മാർക്കറ്റ് സെന്റിമെന്റ്
Price-Earnings Ratio,प्राइस-अर्निंग्स रेशियो,પ્રાઇસ-અર્નિંગ્સ રેશિયો,प्राइस-अर्निंग्स रेशियो,പ്രൈസ്-എർണിംഗ്സ് റേഷ്യോ
Earnings Per Share,अर्निंग्स पर शेयर,અર્નિંગ્સ પર શેર,अर्निंग्स पर शेअर,എർണിംഗ്സ് പർ ഷെയർ
Book Value,बुक वैल्यू,બુક વેલ્યુ,बुक व्हॅल्यू,ബുക്ക് വാല്യു
Dividend Yield,डिविडेंड यील्ड,ડિવિડેન્ડ યીલ્ડ,डिविडेंड यील्ड,ഡിവിഡൻഡ് യീൽഡ്
Income Statement,इनकम स्टेटमेंट,ઇનકમ સ્ટેટમેન્ટ,इन्कम स्टेटमेंट,ഇൻകം സ്റ്റേറ്റ്മെന്റ്
Cash Flow Statement,कैश फ्लो स्टेटमेंट,કૅશ ફ્લો સ્ટેટમેન્ટ,कॅश फ्लो स्टेटमेंट,കാഷ് ഫ്ലോ സ്റ്റേറ്റ്മെന്റ്
Auditor,ऑडिटर,ઑડિટર,ऑडिटर,ഓഡിറ്റർ
Ledger,लेजर,લેજર,लेजर,ലെഡ്ജർ
Journal,जर्नल,જર્નલ,जर्नल,ജേർണൽ
Debit,डेबिट,ડેબિટ,डेबिट,ഡെബിറ്റ്
Credit,क्रेडिट,ક્રેડિટ,क्रेडिट,ക്രെഡിറ്റ്
Accrual,अक्रूअल,અકૃઅલ,अक्रूअल,അക്രൂവൽ
Depreciation,डेप्रिसिएशन,ડિપ્રિસિએશન,डेप्रिसिएशन,ഡെപ്രിസിയേഷൻ
Contingent Liability,कंटिंजेंट लायबिलिटी,કન્ટિન્જન્ટ લાયબિલિટી,कंटिंजेंट लायबिलिटी,കൊണ്ടിൻജന്റ് ലബിലിറ്റി
Financial Ratio,फाइनेंशियल रेशियो,ફાઇનાન્સિયલ રેશિયો,फायनान्शियल रेशियो,ഫിനാൻഷ്യൽ റേഷ്യോ
Liquidity Ratio,लिक्विडिटी रेशियो,લિક્વિડિટી રેશિયો,लिक्विडिटी रेशियो,ലിക്വിഡിറ്റി റേഷ്യോ
Solvency Ratio,सॉल्वेंसी रेशियो,સૉલ્વેન્સી રેશિયો,सॉल्वेंसी रेशियो,സോൾവൻസി റേഷ്യോ
Profitability Ratio,प्रॉफिटेबिलिटी रेशियो,પ્રોફિટેબિલિટી રેશિયો,प्रॉफिटेबिलिटी रेशियो,പ്രാഫിറ്റബിലിറ്റി റേഷ്യോ
Efficiency Ratio,इफिसिएंसी रेशियो,ઇફિશિઅન્સી રેશિયો,इफिशियन्सी रेशियो,എഫിഷൻസി റേഷ്യോ
Market Ratio,मार्केट रेशियो,માર્કેટ રેશિયો,मार्केट रेशियो,മാർക്കറ്റ് റേഷ്യോ
Budget,बजट,બજેટ,बजेट,ബജറ്റ്
Financial Planning,फाइनेंशियल प्लानिंग,ફાઇનાન્સિયલ પ્લાનિંગ,फायनान्शियल प्लानिंग,ഫിനാൻഷ്യൽ പ്ലാനിംഗ്
Investment Planning,इन्वेस्टमेंट प्लानिंग,ઇન્વેસ્ટમેન્ટ પ્લાનિંગ,इन्वेस्टमेंट प्लानिंग,ഇൻവെസ്റ്റ്മെന്റ് പ്ലാനിംഗ്
Retirement Planning,रिटायरमेंट प्लानिंग,રિટાયરમેન્ટ પ્લાનિંગ,रिटायरमेंट प्लानिंग,റിട്ടയർമെന്റ് പ്ലാനിംഗ്
Estate Planning,एस्टेट प्लानिंग,એસ્ટેટ પ્લાનિંગ,एस्टेट प्लानिंग,എസ്റ്റേറ്റ് പ്ലാനിംഗ്
Tax Planning,टैक्स प्लानिंग,ટેક્સ પ્લાનિંગ,टॅक्स प्लानिंग,ടാക്സ് പ്ലാനിംഗ്
Wealth Management,वेल्थ मैनेजमेंट,વેલ્થ મેનેજમેન્ટ,वेल्थ मॅनेजमेंट,വെൽത്ത് മാനേജ്മെന്റ്
Portfolio Management,पोर्टफोलियो मैनेजमेंट,પોર્ટફોલિયો મેનેજમેન્ટ,पोर्टफोलिओ मॅनेजमेंट,പോർട്ട്ഫോളിയോ മാനേജ്മെന്റ്
Risk Management,रिस्क मैनेजमेंट,રિસ્ક મેનેજમેન્ટ,रिस्क मॅनेजमेंट,റിസ്ക് മാനേജ്മെന്റ്
Asset Allocation,एसेट एलोकेशन,એસેટ એલોકેશન,असेट एलोकेशन,ആസറ്റ് അലോകേഷൻ
Diversification,डाइवर्सिफिकेशन,ડાઇવર્સિફિકેશન,डायव्हर्सिफिकेशन,ഡൈവർസിഫിക്കേഷൻ
Risk Tolerance,रिस्क टॉलरेंस,રિસ્ક ટૉલરેન્સ,रिस्क टॉलरेंस,റിസ്ക് ടോളറൻസ്
Risk Appetite,रिस्क एपेटाइट,રિસ્ક એપેટાઇટ,रिस्क एपेटाइट,റിസ്ക് അപെറ്റൈറ്റ്
Depression,डिप्रेशन,ડિપ્રેશન,डिप्रेशन,ഡിപ്രഷൻ
Fiscal Policy,फिस्कल पॉलिसी,ફિસ્કલ પોલિસી,फिस्कल पॉलिसी,ഫിസ്കൽ പോളിസി
Monetary Policy,मॉनिटरी पॉलिसी,મૉનિટરી પોલિસી,मॉनिटरी पॉलिसी,മൊണിറ്ററി പോളിസി
Interest Rate Policy,इंटरेस्ट रेट पॉलिसी,ઇન્ટરેસ્ટ રેટ પોલિસી,इंटरेस्ट रेट पॉलिसी,ഇന്ററസ്റ്റ് റേറ്റ് പോളിസി
Exchange Rate Policy,एक्सचेंज रेट पॉलिसी,એક્સચેન્જ રેટ પોલિસી,एक्सचेंज रेट पॉलिसी,എക്സ്ചേഞ്ച് റേറ്റ് പോളിസി
Trade Policy,ट्रेड पॉलिसी,ટ્રેડ પોલિસી,ट्रेड पॉलिसी,ട്രേഡ് പോളിസി
Public Debt,पब्लिक डेट,પબ્લિક ડેટ,पब्लिक डेट,പബ്ലിക് ഡെറ്റ്
National Debt,नेशनल डेट,નેશનલ ડેટ,नॅशनल डेट,നാഷണൽ ഡെറ്റ്
Sovereign Debt,सोवेरिन डेट,સોવેરિન ડેટ,सोवेरिन डेट,സോവറിൻ ഡെറ്റ്
Corporate Debt,कॉर्पोरेट डेट,કોર્પોરેટ ડેટ,कॉर्पोरेट डेट,കോർപ്പറേറ്റ് ഡെറ്റ്
External Debt,एक्सटर्नल डेट,એકસ્ટર્નલ ડેટ,एक्सटर्नल डेट,എക്സ്റ്റേർണൽ ഡെറ്റ്
Debt-to-GDP Ratio,डेट टू जीडीपी रेशियो,ડેટ ટુ જીડિપિ રેશિયો,डेट टू जीडीपी रेशियो,ഡെറ്റ് ടു ജിഡിപി റേഷ്യോ
Fiscal Deficit,फिस्कल डेफिसिट,ફિસ્કલ ડેફિસિટ,फिस्कल डेफिसिट,ഫിസ്കൽ ഡെഫിസിറ്റ്
Primary Deficit,प्रायमरी डेफिसिट,પ્રાયમરી ડેફિસિટ,प्रायमरी डेफिसिट,പ്രൈമറി ഡെഫിസിറ്റ്
Revenue Deficit,रेवेन्यू डेफिसिट,રેવેન્યુ ડેફિસિટ,रेवेन्यू डेफिसिट,റവന്യൂ ഡെഫിസിറ്റ്
Capital Account,कॅपिटल अकाउंट,કૅપિટલ અકાઉન્ટ,कॅपिटल अकाउंट,ക്യാപിറ്റൽ അക്കൗണ്ട്
Current Account,करंट अकाउंट,કરંટ અકાઉન્ટ,करंट अकाउंट,കറന്റ് അക്കൗണ്ട്
Export,एक्सपोर्ट,એક્સપોર્ટ,एक्सपोर्ट,എക്സ്പോർട്ട്
Import,इम्पोर्ट,ઇમ્પોર્ટ,इम्पोर्ट,ഇംപോർട്ട്
Foreign Direct Investment,फॉरेन डायरेक्ट इन्वेस्टमेंट,ફોરેન ડાયરેક્ટ ઇન્વેસ્ટમેન્ટ,फॉरेन डायरेक्ट इन्वेस्टमेंट,ഫോറിൻ ഡയറക്ട് ഇൻവെസ്റ്റ്മെന്റ്
Foreign Portfolio Investment,फॉरेन पोर्टफोलियो इन्वेस्टमेंट,ફોરેન પોર્ટફોલિયો ઇન્વેસ્ટમેન્ટ,फॉरेन पोर्टफोलियो इन्वेस्टमेंट,ഫോറിൻ പോർട്ട്ഫോളിയോ ഇൻവെസ്റ്റ്മെന്റ്
Free Trade Agreement,फ्री ट्रेड अग्रीमेंट,ફ્રી ટ્રેડ એગ્રીમેન્ટ,फ्री ट्रेड अग्रीमेंट,ഫ്രീ ട്രേഡ് അഗ്രിമെന്റ്
Subsidy,सब्सिडी,સબ્સિડી,सब्सिडी,സബ്സിഡി
Multinational Corporation,मल्टिनॅशनल कॉर्पोरेशन,મલ્ટિનેશનલ કોર્પોરેશન,मल्टिनॅशनल कॉर्पोरेशन,മൾട്ടിനാഷണൽ കോർപ്പറേഷൻ
International Trade,इंटरनॅशनल ट्रेड,ઇન્ટરનેશનલ ટ્રેડ,इंटरनॅशनल ट्रेड,ഇന്റർനാഷണൽ ട്രേഡ്
Trade Balance,ट्रेड बॅलन्स,ટ્રેડ બૅલન્સ,ट्रेड बॅलन्स,ട്രേഡ് ബാലൻസ്
Gross Domestic Product,ग्रॉस डोमेस्टिक प्रोडक्ट,ગ્રોસ ડોમેસ્ટિક પ્રોડક્ટ,ग्रॉस डोमेस्टिक प्रोडक्ट,ഗ്രോസ് ഡൊമസ്റ്റിക് പ്രൊഡക്ട്
Gross National Product,ग्रॉस नेशनल प्रोडक्ट,ગ્રોસ નેશનલ પ્રોડક્ટ,ग्रॉस नेशनल प्रोडक्ट,ഗ്രോസ് നാഷണൽ പ്രൊഡക്ട്
Net Domestic Product,नेट डोमेस्टिक प्रोडक्ट,નેટ ડોમેસ્ટિક પ્રોડક્ટ,नेट डोमेस्टिक प्रोडक्ट,നെറ്റ് ഡൊമസ്റ്റിക് പ്രൊഡക്ട്
Net National Product,नेट नेशनल प्रोडक्ट,નેટ નેશનલ પ્રોડક્ટ,नेट नेशनल प्रोडक्ट,നെറ്റ് നാഷണൽ പ്രൊഡക്ട്
Home,होम,હોમ,होम,ഹോം
Menu,मेनू,મેનૂ,मेनू,മെനു
Dashboard,डैशबोर्ड,ડેશબોર્ડ,डॅशबोर्ड,ഡാഷ്‌ബോർഡ്
Transactions,लेनदेन,વ્યવહારો,व्यवहार,ഇടപാട്
Balance,बैलेंस,બેલેન્સ,बॅलेन्स,ബാലൻസ്
Statements,स्टेटमेंट्स,સ્ટેટમેન્ટ્સ,स्टेटमेंट्स,സ്റ്റേറ്റ്മെന്റ്സ്
Transfer,ट्रांसफर,ટ્રાન્સફર,हस्तांतरण,ട്രാൻസ്ഫർ
Pay,भुगतान,ચુકવણી,पेमेंट,പേയ്‌മെന്റ്
Withdraw,निकालना,ઉપાડવું,पैसे काढणे,പണമെടുക്കുക
Deposit,जमा,જમા,ठेव,നിക്ഷേപം
History,इतिहास,ઇતિહાસ,इतिहास,ചരിത്രം
Settings,सेटिंग्स,સેટિંગ્સ,सेटिंग्ज,സജ്ജീകരണങ്ങൾ
Notifications,सूचनाएँ,સૂચનાઓ,सूचनाएँ,അറിയിപ്പുകൾ
Help,सहायता,સહાય,मदत,സഹായം
Profile,प्रोफाइल,પ્રોફાઇલ,प्रोफाइल,പ്രൊഫൈൽ
Security,सुरक्षा,સુરક્ષા,सुरक्षा,സുരക്ഷ
Login,लॉगिन,લૉગિન,लॉगिन,ലോഗിൻ
Logout,लॉगआउट,લૉગઆઉટ,लॉगआउट,ലോഗ്‌ഔട്ട്
Sign Up,साइन अप,સાઇન અપ,साइन अप,സൈൻ അപ്പ്
Sign In,साइन इन,સાઇન ઇન,साइन इन,സൈൻ ഇൻ
Password,पासवर्ड,પાસવર્ડ,पासवर्ड,പാസ്‌വേഡ്
PIN,पिन,પિન,पिन,പിന്
Verification,सत्यापन,પ્રમાણન,पडताळणी,സ്ഥിരീകരണം
Alerts,अलर्ट्स,એલર્ટ્સ,अलर्ट्स,അലർട്ട്സ്
Preferences,प्राथमिकताएँ,પસંદગીઓ,प्राथमिकता,മുൻ‌ഗണനകൾ
Contact Us,संपर्क करें,સંપર્ક કરો,संपर्क करा,ഞങ്ങളെ ബന്ധപ്പെടുക
FAQ,सामान्य प्रश्न,સાધારણ પ્રશ્નો,सामान्य प्रश्न,വ്യാപക ചോദ്യങ്ങൾ
Support,समर्थन,ટેકSupport,समર્થन,പിന്തുണ
Chat,चैट,ચેટ,चॅट,ചാറ്റ്
Bill Pay,बिल भुगतान,બિલ ચુકવણી,बिल पेमेंट,ബിൽ പേയ്‌മെന്റ്
Budget,बजट,બજેટ,बजेट,ബജറ്റ്
Loans,ऋण,લોન,कर्ज,വായ്പ
Credit Card,क्रेडिट कार्ड,ક્રેડિટ કાર્ડ,क्रेडिट कार्ड,ക്രെഡിറ്റ് കാർഡ്
Savings,बचत,બચત,बचत,സംരക്ഷണം
Investments,निवेश,રોકાણ,गुंतवणूक,നിക്ഷേപങ്ങൾ
Fees,शुल्क,ફી,फी,ഫീസ്
Limit,लिमिट,લિમિટ,लिमिट,ലിമിറ്റ്
Beneficiaries,लाभार्थी,લાભાર્થી,लाभार्थी,പ്രയോജനക്കാർ
Direct Deposit,डायरेक्ट डिपॉजिट,ડાયરેક્ટ ડિપોઝિટ,डायरेक्ट डिपॉजिट,നേരിട്ടുള്ള നിക്ഷേപം
EFT (Electronic Funds Transfer),ईएफटी (इलेक्ट्रॉनिक फंड ट्रांसफर),ઇઇફ્ટી (ઇલેક્ટ્રોનિક ફંડ ટ્રાન્સફર),ईएफटी (इलेक्ट्रॉनिक फंड ट्रान्सफर),ഇഎഫ്‌ടി (ഇലക്ട്രോണിക് ഫണ്ട് ട്രാൻസ്ഫർ)
Branch Locator,शाखा स्थानक,શાખા લોકેટર,शाखा लोकेटर,ശാഖാ ലൊക്കേറ്റർ
ATM Locator,एटीएम स्थानक,એટીએમ લોકેટર,एटीएम लोकेटर,എടിഎം ലൊക്കേറ്റർ
Offers,ऑफ़र,ઓફર્સ,ऑफर,ഓഫറുകൾ
Rewards,पुरस्कार,ઇનામ,बक्षिस,അവാർഡുകൾ
Dispute,विवाद,વિવાદ,वाद,തർക്കം
Inquiry,पूछताछ,પુછપરછ,चौकशी,അന്വേഷണം
Authentication,प्रमाणीकरण,પ્રમાણીકરણ,प्रमाणीकरण,അസാധ്യസൃഷ്ടി
Authorization,प्राधिकरण,અધિકૃતક,प्राधिकरण,അധികാരസാധനം
Routing Number,रूटिंग नंबर,રાઉટિંગ નંબર,राउटिंग नंबर,റൂട്ടിംഗ് നമ്പർ
Mortgage,बंधक,મોર્ગેજ,गृह कर्ज,മോർട്ട്ഗേജ്
Term Deposit,टर्म डिपॉजिट,ટર્મ ડિપોઝિટ,टर्म डिपॉजिट,ടെർമിനൽ ഡിപോസിറ്റ്
Fixed Deposit,फिक्स्ड डिपॉजिट,ફિક્સ્ડ ડિપોઝિટ,फिक्स्ड डिपॉजिट,ഫിക്സഡ് ഡിപോസിറ്റ്
Overdraft,ओवरड्राफ्ट,ઓવરડ્રાફ્ટ,ओवरड्राफ्ट,ഓവർഡ്രാഫ്റ്റ
Credit Score,क्रेडिट स्कोर,ક્રેડિટ સ્કોર,क्रेडिट स्कोर,ക്രെഡിറ്റ് സ്കോർ
Loan Application,ऋण आवेदन,લોન અરજી,कर्ज अर्ज,വായ്പ അപേക്ഷ
Transaction History,लेनदेन इतिहास,વ્યવહાર ઇતિહાસ,व्यवहार इतिहास,ഇടപാട് ചരിത്രം
Service Request,सेवा अनुरोध,સેવા વિનંતી,सेवा विनंती,സേവന അഭ്യർത്ഥന
Update Information,जानकारी अपडेट करें,માહિતી અપડેટ કરો,माहिती अपडेट करा,വിവരങ്ങൾ അപ്‌ഡേറ്റ് ചെയ്യുക
Contact Details,संपर्क विवरण,સંપર્ક વિગતો,संपर्क तपशील,ബന്ധപ്പെടുന്ന വിവരങ്ങൾ
Transfer Funds,फंड ट्रांसफर,ફંડ ટ્રાન્સફર,फंड ट्रांसफर,ഫണ്ട് ട്രാൻസ്ഫർ
Account Summary,खाता सारांश,ખાતાનો સારાંશ,खातेचा सारांश,അക്കൗണ്ട് സംഗ്രഹം
Account Settings,खाता सेटिंग्स,ખાતાની સેટિંગ્સ,खाते सेटिंग्ज,അക്കൗണ്ട് സജ്ജീകരണങ്ങൾ
Card Activation,कार्ड सक्रियण,કાર્ડ એક્ટિવેશન,कार्ड सक्रियण,കാർഡ് സജീവീകരണം
Card Replacement,कार्ड प्रतिस्थापन,કાર્ડ બદલવું,कार्ड बदलणे,കാർഡ് പകരാൻ
Tax Documents,कर दस्तावेज़,કર દસ્તાવેજો,कर कागदपत्र,നികുതി രേഖകൾ
Currency Converter,मुद्रा परिवर्तक,કરન્સી કન્વર્ટર,चलन रूपांतर,കറൻസി കൺവർട്ടർ
